sig_lev_1,inventory_year,count
"T: Collecting Art, Museum Studies",1990,10
"T: Collecting Art, Museum Studies",1991,19
"T: Collecting Art, Museum Studies",1992,14
"T: Collecting Art, Museum Studies",1993,35
"T: Collecting Art, Museum Studies",1994,16
"T: Collecting Art, Museum Studies",1995,22
"T: Collecting Art, Museum Studies",1996,30
"T: Collecting Art, Museum Studies",1997,20
"T: Collecting Art, Museum Studies",1998,45
"T: Collecting Art, Museum Studies",1999,36
"T: Collecting Art, Museum Studies",2000,38
"T: Collecting Art, Museum Studies",2001,48
"T: Collecting Art, Museum Studies",2002,49
"T: Collecting Art, Museum Studies",2003,36
"T: Collecting Art, Museum Studies",2004,35
"T: Collecting Art, Museum Studies",2005,89
"T: Collecting Art, Museum Studies",2006,42
"T: Collecting Art, Museum Studies",2007,28
"T: Collecting Art, Museum Studies",2008,39
"T: Collecting Art, Museum Studies",2009,59
"T: Collecting Art, Museum Studies",2010,32
"T: Collecting Art, Museum Studies",2011,27
"T: Collecting Art, Museum Studies",2012,17
"T: Collecting Art, Museum Studies",2013,52
"T: Collecting Art, Museum Studies",2014,35
"T: Collecting Art, Museum Studies",2015,107
"T: Collecting Art, Museum Studies",2016,76
"T: Collecting Art, Museum Studies",2017,146
"T: Collecting Art, Museum Studies",2018,150
"T: Collecting Art, Museum Studies",2019,55
"T: Collecting Art, Museum Studies",2020,92
"T: Collecting Art, Museum Studies",2021,130
"T: Collecting Art, Museum Studies",2022,97
"T: Collecting Art, Museum Studies",2023,12
X: European Topography,1986,7
X: European Topography,1987,3
X: European Topography,1988,3
X: European Topography,1993,6
X: European Topography,1994,6
X: European Topography,1995,1
X: European Topography,1996,1
X: European Topography,1998,6
X: European Topography,1999,4
X: European Topography,2001,3
X: European Topography,2002,1
X: European Topography,2003,2
X: European Topography,2004,1
X: European Topography,2005,1
X: European Topography,2007,5
X: European Topography,2008,10
X: European Topography,2010,1
X: European Topography,2012,3
X: European Topography,2013,3
X: European Topography,2015,1
X: European Topography,2016,2
X: European Topography,2017,1
X: European Topography,2018,1
X: European Topography,2019,1
Y: World Topography,2004,4
Y: World Topography,2006,1
Y: World Topography,2016,1
Y: World Topography,2022,1
Z: Related Disciplines,1985,8
Z: Related Disciplines,1988,2
Z: Related Disciplines,1990,8
Z: Related Disciplines,1991,1
Z: Related Disciplines,1992,16
Z: Related Disciplines,1996,3
Z: Related Disciplines,1998,2
Z: Related Disciplines,1999,3
Z: Related Disciplines,2002,1
Z: Related Disciplines,2004,2
Z: Related Disciplines,2006,2
Z: Related Disciplines,2007,1
Z: Related Disciplines,2008,1
Z: Related Disciplines,2010,1
Z: Related Disciplines,2011,97
Z: Related Disciplines,2012,3
Z: Related Disciplines,2014,4
Z: Related Disciplines,2015,5
Z: Related Disciplines,2016,1
Z: Related Disciplines,2017,14
Z: Related Disciplines,2018,2
Z: Related Disciplines,2019,1
Z: Related Disciplines,2020,1
Z: Related Disciplines,2022,1
Z: Related Disciplines,2023,1
