sign	grp	nr	ref	name	comment	author	date	x
Cm-RIV	Cm	129		Riva, Ugo		ph	2008.09.26	
Hd	Hd	2640		Sisyphus		gw	2008.09.30	
Zs-CON	Zs	7586		Conti, Natale	Historiker	gw	2008.09.30	
Cm-COC	Cm	410		Coccia, Renato		ph	2008.09.30	
Wa-MEY	Wa	5330		Meynier, Charles		gw	2008.09.30	
K-TUR	K	7050		Tursi, Angiolo		ph	2008.09.30	
Zs-MEC	Zs	4941		Mecnikov, Lev		ph	2008.09.30	
Cm-RIG	Cm	3050		Righetti, Guido		gw	2008.09.30	
Gh-VER	Gh	4818		Vernazza, Giuseppe		ph	2008.10.01	
K-COF	K	2318		Coffin, David R.		gw	2008.10.02	
Wa-SEY	Wa	4620		Seymour, Samuel		gw	2008.10.02	
KatM-VIC	KatM	1030		Vicchio		ph	2008.10.06	
KatE-SAI	KatE	5040		Saint-Denis		gw	2008.10.06	
Wa-SEL	Wa	4167		Sellier, Charles Francois		gw	2008.10.06	
Cm-BAR	Cm	1110		Baroni, Nello		ph	2008.10.06	
Wa-BAR	Wa	7642		Bartram, William		gw	2008.10.07	
KatE-PEK	KatE	3475		Peking		ph	2008.10.07	
Wa-VAL	Wa	8254		Valvasor, Johann Weikhard		gw	2008.10.08	
K-MAY	K	2030		Mayer-Meintschel, Annaliese		ph	2008.10.08	
Wa-ZZB	Wa	4880		Berner Nelkenmeister		ph	2008.10.08	
Cm-BEC	Cm	910		Beccaria, Patrizio		ph	2008.10.09	
E-BOL	E	111		Bolotana		ph	2008.10.09	
Zp-MAR	Zp	8031		Marulic, Marko	Kroatischer Dichter	ph	2008.10.10	
KatM-BAI	KatM	100		Baia		ph	2008.10.10	
E-MON	E	2102		Monteleone Rocca Doria		ph	2008.10.13	
Ca-MAZ	Ca	365		Mazzanti, Ferdinando		ph	2008.10.14	
Zo-SER	Zo	734		Serbo, Ubaldo		gw	2008.10.14	
E-MAR	E	11		Mara		ph	2008.10.14	
K-BRA	K	4840		Branca, Vittore		gw	2008.10.14	
Ca-VER	Ca	715		Verri, Carlo		ph	2008.10.15	
Wa-RAU	Wa	1230		Rauch, Johann Nepomuk		ph	2008.10.15	
Cm-TRI	Cm	2200		Trincanato, Egle Renata		gw	2008.10.15	
KatP-EST	KatP	5538		Estorick, Eric	Sammler in London	gw	2008.10.15	
Cm-CER	Cm	1690		Cerri, Giancarlo		gw	2008.10.16	
K-AVA	K	6800		Avarucci, Giuseppe		ph	2008.10.16	
Ca-MOR	Ca	736		Morettini, Pietro	1660-1737	gw	2008.10.17	
Cm-ROS	Cm	580		Rossi Prodi, Fabrizio		gw	2008.10.17	
Cm-TRO	Cm	9990		Trozzi, Pietro		gw	2008.10.17	
Cm-ACC	Cm	3258		Acciaro, Guglielmo		gw	2008.10.17	
Cm-MOZ	Cm	7000		Mozzanica, Giuseppe		gw	2008.10.17	
Cm-SCI	Cm	107		Sciamè, Vincenzo		gw	2008.10.20	
E-SAR	E	172		Sarnonico		gw	2008.10.20	
Cm-MOI	Cm	7134		Moiso, Giorgio		gw	2008.10.20	
Cm-ALL	Cm	760		Aller, Bruno	*1960 in Rom	gw	2008.10.22	
K-DIN	K	9710		Dinzelbacher, Peter		ph	2008.10.24	
Cm-MOR	Cm	3304		Moriconi, Angelo		gw	2008.10.24	
Cm-MAL	Cm	1000		Malara, Empio		gw	2008.10.24	
Cm-RIC	Cm	730		Riccini, Edilio		gw	2008.10.24	
KatM-VAL	KatM	4484		Valmontone		gw	2008.10.28	
E-GAL	E	152		Gallicano nel Lazio		gw	2008.10.28	
Wm-REI	Wm	1030		Reichert, Josua		gw	2008.10.28	
Cm-BAR	Cm	650		Barbini, Bruno		gw	2008.10.28	
Cm-SPI	Cm	4810		Spina, Luigi		gw	2008.10.28	
Zu-IOH	Zu	301		Johannes, de Caulibus		gw	2008.10.29	
Xa-WIL	Xa	2964		Wilhelmsbad		gw	2008.10.30	
KatE-MOU	KatE	4200		Moulins		ph	2008.10.30	
KatP-SOD	KatP	1620		Soddu, Pietro	Sammlung Soddu-Tanda - (Ausonio Tanda?)	ph	2008.10.31	
Zs-CON	Zs	6453		Conradus (Hirsaugiensis)	Konrad von Hirsau	gw	2008.10.31	
KatE-MIT	KatE	5350		Mito	Stadt in Japan	gw	2008.10.31	
KatE-BAN	KatE	376		Banari	Prov. Sassari	gw	2008.11.03	
Zs-FAR	Zs	105		Farabi, Abu-Na al	Al-Farabi	gw	2008.11.03	
Cm-CRE	Cm	304		Crema, Paola		gw	2008.11.03	
Zs-DEU	Zs	7212		Deussen, Paul		ph	2008.11.05	
KatP-GER	KatP	7240		Gerstenmaier, Hans Rudolf		ph	2008.11.05	
Wa-CAS	Wa	2355		Castillo, Antonio del		ph	2008.11.05	
Gh-DAV	Gh	3305		David, Francois Anne		gw	2008.11.06	
Wa-WOL	Wa	2380		Wolff, Johann Heinrich		gw	2008.11.06	
Cm-DEC	Cm	220		De Carli, Mauro		gw	2008.11.07	
Cm-DEC	Cm	230		De Carli, Paolo		gw	2008.11.07	
Ca-MUR	Ca	100		Murena, Carlo		ph	2008.11.12	
Cm-BAR	Cm	740		Bargagni, Elio		ph	2008.11.12	
Zs-POR	Zs	7507		Portio, Simone		gw	2008.11.12	
Cm-BOT	Cm	7424		Bottegal, Silvio		ph	2008.11.13	
KatM-PEC	KatM	1065		Peccioli		ph	2008.11.13	
E-USS	E	52		Usseglio		ph	2008.11.14	
KatE-CAM	KatE	5390		Camogli		ph	2008.11.14	
Cm-MAL	Cm	1560		Malchiodi, Gian Carlo		ph	2008.11.17	
KatE-VIC	KatE	1030		Vicchio		ph	2008.11.18	
KatV-BLO	KatV	5462		Bloomsbury (New York)		gw	2008.11.19	
Zu-MAS	Zu	6906		Massari, Ambrogio		ph	2008.11.21	
Zs-MER	Zs	1251		Mercuriale, Girolamo		ph	2008.11.25	
Cm-PED	Cm	230		Pedano, Pino		gw	2008.11.26	
Ca-ANA	Ca	60		Anastasi, Giovanni		ph	2008.11.27	
Gh-CAS	Gh	331		Casanova, Giovanni Battista		ph	2008.11.27	
KatP-GOR	KatP	3255		Gori, Anton Francesco		ph	2008.11.27	
