id,lang,authors,title,subtitle,statement,place,publisher,year,editors,subjects,subject_types,parentId,parentTitle
BV013217255,eng,,100 masterpieces,,Courtauld Institute Galleries ; ed. by Dennis Farr,London,Courtauld Inst. of Art Fun,1987,"Farr, Dennis","Daddi, Bernardo",p,,
BV013217402,eng,,FEMS immunology and medical microbiology,,Federation of European Microbiology Societies,Oxford [u.a.],Wiley-Blackwell,1993-2012,,,,,
BV013217405,eng,,Expert systems with applications,,,Amsterdam [u.a.],Elsevier Science,1990-,,Expertensystem,s,,
BV013217437,eng,,Expert systems,,,Oxford [u.a.],Wiley-Blackwell,1984-,,,,,
BV013217517,eng,,FEMS microbiology ecology,,Federation of European Microbiological Societies,Oxford,Oxford Univ. Press,1985-,,Mikrobiologie,s,,
BV013217647,fre,,La France des humanistes,,par Judit Kecskeméti ... Sous la dir. de Jean Céard,Turnhout,Brepols,2003,"Kecskeméti, Judit|Céard, Jean","Estienne, Henri",p,BV023289728,Europa Humanistica
BV013217654,eng,,FEMS microbiology letters,,"Federation of European Microbiological Societies, FEMS",Oxford,Oxford Univ. Press,1977-,,Mikrobiologie,s,,
BV013217739,eng,,FEMS microbiology reviews,,Federation of European Microbiological Societies,Oxford,Oxford Univ. Press,1985-,,Mikrobiologie,s,,
BV013217752,eng,,Industrial marketing management,,,"New York, NY [u.a.]",Elsevier,1971-,,Marketing,s,,
BV013217768,ger,"Baedeker, Karl",Nordost-Deutschland,,von K. Baedeker,Leipzig,Baedeker,1896,,Deutschland,g,,
BV013217777,eng,,International journal of multiphase flow,,,Oxford ; Braunschweig [u.a.],Pergamon Press,1973-,,Mehrphasenströmung,s,,
BV013217930,eng,"Declercq, Georges",Anno Domini,,Georges Declercq,Turnhout,Brepols,2000,,Chronologie,s,,
BV013218473,ger,"Althaus, Horst",Laokoon,,Horst Althaus,Tübingen [u.a.],Francke,2000,,Hagesander|Ästhetik|Laokoon|Deutschland,u|s|p|g,,
BV013218507,ger,"Streubel, Frauke",Organisatorische Gestaltung und Informationsmanagement in der lernenden Unternehmung,,Frauke Streubel,Frankfurt am Main ; Berlin ; Bern ; Bruxelles ; New York ; Oxfor,Lang,2000,,Organisatorisches Lernen,s,BV000003767,Bochumer Beiträge zur Unternehmungsführung und Unternehmensforschung
BV013218869,ger,"Bork, Karen",Gemalte Leere,,Karen Bork,Frankfurt am Main [u.a.],Lang,2000,,Frankreich|Historienmalerei,g|s,,
BV013220119,ger,,Georges-Bloch-Jahrbuch des Kunsthistorischen Instituts der Universität Zürich,,,Zürich,Kunsthist. Inst. der Univ. Zürich,1998-2006,,Kunst,s,,
BV013220127,eng,,European journal of information systems,,,London,Taylor and Francis,[1991]-,,,,,
BV013220138,eng,,Ethics and information technology,,,Dordrecht [u.a.],Springer Science + Business Media B.V,1999-,,Informationstechnik,s,,
BV013220141,eng,,Journal of accounting and public policy,,,Amsterdam,Elsevier,1982-,,Rechnungswesen,s,,
BV013220149,eng,,Journal of international money and finance,,,Amsterdam [u.a.],Elsevier Science,1982-,,Finanzwirtschaft,s,,
BV013220156,eng,,Journal of retailing,,"iss. quarterly by Leonard N. Stern School of Business, New York University","New York, NY [u.a.]",Elsevier,1964-,,Einzelhandel,s,,
BV013220225,eng,,Electronic markets,,,Berlin ; Heidelberg,Springer,1991-,,,,,
BV013220250,eng,,Journal of economics and business,,Temple University of the Commonwealth System of Higher Education,Amsterdam [u.a.],Elsevier,1982-,,,,,
BV013220334,eng,,Journal of educational technology & society,,"published by National Taiwan Normal University, Taiwan",Taipei,"National Taiwan Normal University, Taiwan",1998-,,Computer,s,,
BV013220369,eng,,The American naturalist,,publ. for the American Society of Naturalists,"Chicago, Ill.",Univ. of Chicago Press,1867-,,Biologie,s,,
BV013220488,eng,,Journal of digital information,,,Southampton,"University of Southampton, Multimedia Research Group",1997-,,,,,
BV013220538,eng,,Journal of heuristics,,,Dordrecht [u.a.],Springer Science + Business Media B.V.,1995-,,Heuristik,s,,
BV013220672,eng,,The journal of systems and software,,,Amsterdam [u.a.],Elsevier,1979-,,Informatik,s,,
BV013220692,eng,,Journal of systems architecture,,,Amsterdam,Elsevier,1996-,,Computerarchitektur,s,,
BV013220719,eng,,Journal of the ACM,,Association for Computing Machinery,"New York, NY",ACM,1954-,,Datenverarbeitung,s,,
BV013220757,eng,,Journal of the Franklin Institute,,,Amsterdam [u.a.],Elsevier Science,1829-,,Naturwissenschaften,s,,
BV013220806,eng,,INFORMS journal on computing,,,"Linthicum, Md. ; Hannover, Md.",INFORMS,1996-,,,,,
BV013220852,eng,,Journal of vocational education & training,,,Abingdon [u.a.],"Routledge, Taylor & Francis Group",1948-,,,,,
BV013221037,fre,,L' art du Moyen-Âge en Slovenie,,[introduction et catalogue de Emilijan Cevc],Ljubljana,Éd. de la Galérie Nationale,1956,"Cevc, Emiljan",Narodna galerija|Slowenien|Kunst,b|g|s,BV013221020,Guide des collections artistiques de la Galérie Nationale de Ljubljana
BV013221165,fre,,"Mazarin, prince des collectionneurs",,par Patrick Michel,Paris,Ed. de la Réunion des Musées Nationaux,1999,"Michel, Patrick","Mazarin, Jules|Sammlung",p|s,BV000007955,Notes et documents des musées de France
BV013221450,fre,"Migeon, Gaston",Les arts du tissu,,par Gaston Migeon,Paris,Renouard,1929,,Textilkunst,s,,
BV013221469,ger,,Handbuch der historischen Buchbestände in Deutschland,,"in Zsarb. mit Severin Corsten ... hrsg. von Bernhard Fabian. Red.: Karen Kloth, Mattthias Bauer u. Beate Kosel",Hildesheim [u.a.],Olms-Weidmann,2000,"Krause, Friedhilde|Fabian, Bernhard|Mauersberger, Erhardt|Raabe, Paul|Guth, Waltraut|Dugall, Berndt",Sachsen-Anhalt|Altbestand,g|s,,
BV013221524,ger,,Handbuch der historischen Buchbestände in Deutschland,,"in Zsarb. mit Severin Corsten ... hrsg. von Bernhard Fabian. Red.: Karen Kloth, Mattthias Bauer u. Beate Kosel",Hildesheim [u.a.],Olms-Weidmann,2000,"Kloth, Karen|Fabian, Bernhard|Schüller-Zwierlein, André|Raabe, Paul|Dugall, Berndt",Deutschland|Altbestand,g|s,,
BV013221538,eng,"Jardine, Lisa",Global interests,,Lisa Jardine and Jerry Brotton,London,Reaktion Books,2000,"Brotton, Jerry",Bildteppich|Europa,s|g,,
BV013221728,ita,"Fasani, Giovanni",Il Carroccio nelle stampe,,Giovanni Fasani,Cremona,Turris,1996,,Poebene|Stadt,g|s,BV009809025,Quaderni cremonesi
BV013221789,ger,,Die Schweiz und ihre Landschaft in slavischer Lyrik,,"Peter Brang (Hrsg.). Mit Beitr. von Peter Brang, Wido Hempel, Werner Habicht, Dieter Mehl, Norbert Miller u. Rainer Kahsnitz",Stuttgart,Steiner,2000,"Brang, Peter",Slawische Sprachen|Westeuropa,s|g,,
BV013221917,eng,,Structural and multidisciplinary optimization,,,Berlin ; Heidelberg ; New York,Springer,1989-,,Strukturoptimierung,s,,
BV013222096,eng,,Life sciences,,,"New York, NY [u.a.]",Elsevier Science,1963-,,Biowissenschaften,s,,
BV013222101,eng,,Long range planning,,Strategic Planning Society,Oxford,Elsevier,1968-,,Planung,s,,
BV013222156,eng,,Communications of the ACM,,Association for Computing Machinery,"[New York, NY]",ACM,1958-,,Datenverarbeitung,s,,
BV013222307,eng,,Information processing & management,,,Amsterdam [u.a.],Elsevier Science,1975-,,Information Retrieval,s,,
BV013222309,eng,,Canadian journal of animal science,,Agricultural Institute of Canada,"Ottawa, Ont.",,1957-,,Nutztiere,s,,
BV013222318,eng,,Information Retrieval Journal,,,Dordrecht [u.a.],Springer Science + Business Media B.V.,1999-,,Information Retrieval,s,,
BV013222345,eng,,Information systems frontiers,,,Dordrecht [u.a.],Springer Science + Business Media B.V,1999-,,Informationssystem,s,,
BV013222380,eng,,Information systems journal,,,Oxford [u.a.],Wiley-Blackwell,1991-,,Informationssystem,s,,
BV013222510,eng,,International journal of design computing,,,Sydney,Univ. of Sydney,1997-2004,,Informatik,s,,
BV013222529,eng,,Canadian journal of soil science,,Agricultural Institute of Canada,"Ottawa, Ont.",,1957-,,,,,
BV013222575,eng,,The international journal of high performance computing applications,,,"Thousand Oaks, Calif.",Sage Science Press,1998-,,Supercomputer,s,,
BV013222627,eng,,Renaissance civic humanism,,ed. by James Hankins,Cambridge [u.a.],Cambridge Univ. Press,2000,"Hankins, James","Italien|Politik|Bruni, Leonardo",g|s|p,BV004861223,Ideas in context
BV013222700,eng,,The knowledge engineering review,,British Computer Society Specialist Group on Expert Systems,Cambridge,Cambridge Univ. Press,1984-,,Wissensbasiertes System,s,,
BV013222709,eng,,Canadian journal of plant science,,Agricultural Institute of Canada,"Ottawa, ON",Canadian Science Publishing (NRC Research Press),[1957?]-,,,,,
BV013222741,eng,,Knowledge-based systems,,,Amsterdam [u.a.],Elsevier Science,1987-,,Wissensbasiertes System,s,,
BV013222822,ger,"Scherer, Christian",Technik und Geschichte der Intarsia,,Christian Scherer,Leipzig,Weigel,1891,,Intarsie,s,,
BV013222849,eng,,Poppenhuizen,,Rijksmuseum Amsterdam. [J. H. M. Leesberg-Terwindt],Amsterdam,,1955,"Leesberg-Terwindt, J. H. M.",Rijksmuseum|Puppenhaus|Holland,b|s|g,BV038749391,Facetten der verzameling
BV013222907,eng,,Modern language notes,,ed. by H. Carrington Lancaster [u.a.],"Baltimore, Md.",Johns Hopkins Press,1886-1961,,Vergleichende Literaturwissenschaft,s,,
BV013222928,eng,,MLN,,,"Baltimore, Md.",Johns Hopkins Univ. Press,1962-,,Vergleichende Literaturwissenschaft,s,,
BV013222951,eng,,National identities,,,London,"Routledge, Taylor and Francis Group",1999-,,Nationalbewusstsein,s,,
BV013223103,eng,,Employee responsibilities and rights journal,,publ. for the Council on Employee Responsibilities and Rights,"Getzville, NY",HeinOnline,1988-,,,,,
BV013223152,eng,,Journal of educational change,,,Dordrecht [u.a.],Springer Science + Business Media B.V,2000-,,,,,
BV013223217,ger,"Mütherich, Florentine",Die karolingischen Miniaturen,,im Auftr. des Deutschen Vereins für Kunstwissenschaft hrsg. von Wilhelm Köhler ... [ab Bd. 4: ... hrsg. von Wilhelm Köhler und Florentine Mütherich],Berlin,Dt. Verl. für Kunstwiss.,1999,"Köhler, Wilhelm|Mütherich, Florentine",,,,
BV013223390,eng,,Early childhood education journal,,,Dordrecht [u.a.],Springer Science + Business Media B.V,1973-,,,,,
BV013223622,ita,,Bizantinistica,,"Fondazione Centro Italiano di Studi sull'Alto Medioevo; Antonio Carile, Dipartimento di Beno Culturali",Spoleto,Fondazione Centro Italiano di Studi sull'Alto Medioevo,2000-,,Byzantinisches Reich|Geschichte,g|s,,
BV013223646,eng,,Master drawings from the Woodner Collection,,by George R. Goldner,"Malibu, Calif.",,1983,"Goldner, George R.","Woodner, Ian|Sammlung|Europa",p|s|g,,
BV013223841,eng,,Mathematical and computer modelling of dynamical systems,,,London [u.a.],Taylor & Francis,1995-,,Dynamisches System,s,,
