5;Nh 220;270;...............westeuropäische Länder;
5;Nh 280;290;...............südeuropäische Länder;
5;Nh 300;330;...............nordeuropäische Länder;
5;Nh 340;370;...............osteuropäische Länder;
5;Nh 400;490;...............Balkan-Länder;
5;Nh 600;;...............außereuropäische Länder;
5;Nh 610;;...............Asien allgemein;
5;Nh 620;;...............Vorderasien;
5;Nh 660;;...............Ostasien;
5;Nh 700;;...............Afrika;
5;Nh 800;870;...............Amerika;
5;Nh 900;;...............Australien und Südsee (Ozeanien);
4;Nh xxx;yyy;............Mittelalter (bis 1500);
5;Nh 1020;;...............interkontinenal und Europa allgemein, Mittelalter;
5;Nh 1024;;...............idem (= interkontinenal und Europa allgemein), vorkarolingische Zeit (bis 800);
5;Nh 1028;;...............idem (= interkontinenal und Europa allgemein), karolingische und ottonische Zeit;
5;Nh ;;...............(9-10. Jh.);
5;Nh 1032;;...............idem (= (9-10. Jh.)), Romanik (11.-12. Jh.);
5;Nh 1036;;...............idem (= (9-10. Jh.)), Gotik (13.-15. Jh.);
5;Nh 1050;;...............Deutschland, Mittelalter;
5;Nh 1054;1066;...............idem (= Deutschland), nach Jahrhunderten;
5;Nh 1080;;...............Österreich;
5;Nh 1090;;...............Schweiz und Liechtenstein;
5;Nh 1100;;...............Frankreich und Monaco, Mittelalter;
5;Nh 1104;1116;...............idem (= Frankreich und Monaco), nach Jahrhunderten;
5;Nh 1130;;...............Benelux-Staaten;
5;Nh 1170;;...............Großbritannien und Irland;
5;Nh 1190;;...............Spanien und Portugal, Gibraltar und Andorra;
5;Nh 1200;;...............nordeuropäische Länder;
5;Nh 1230;;...............osteuropäische Länder;
5;Nh 1260;;...............Balkan-Länder;
5;Nh 1300;;...............außereuropäische Kontinente allgemein;
5;Nh 1310;;...............Asien allgemein;
5;Nh 1320;;...............Vorderasien;
5;Nh 1340;;...............Ostasien;
5;Nh 1380;;...............Afrika;
5;Nh 1400;1450;...............Amerika;
5;Nh 1480;;...............Australien und Südsee (Ozeanien);
4;Nh xxx;yyy;............Neuzeit (1500 bis zur Gegenwart);
5;Nh 1520;;...............interkontinental und Europa allgemein, Neuzeit;
5;Nh 1524;;...............idem (= interkontinental und Europa allgemein), Renaissance und Manierismus (1500-1600);
5;Nh 1528;;...............idem (= interkontinental und Europa allgemein), Barock und Rokoko (1600-1800);
5;Nh 1532;;...............idem (= interkontinental und Europa allgemein), 19. Jh.;
5;Nh 1534;;...............idem (= interkontinental und Europa allgemein), 19. und 20. Jh.;
5;Nh 1536;;...............idem (= interkontinental und Europa allgemein), 20. Jh.;
5;Nh 1550;;...............Deutschland, Neuzeit;
5;Nh 1554;1566;...............idem (= Deutschland), nach Jahrhunderten;
5;Nh 1580;;...............Österreich;
5;Nh 1590;;...............Schweiz und Liechtenstein;
5;Nh 1600;;...............Frankreich und Monaco, Neuzeit;
5;Nh 1604;1616;...............idem (= Frankreich und Monaco), nach Jahrhunderten;
5;Nh 1630;;...............Benelux-Staaten;
5;Nh 1670;;...............Großbritannien und Irland;
5;Nh 1690;;...............Spanien und Portugal, Gibraltar und Andorra;
5;Nh 1700;;...............nordeuropäische Länder;
5;Nh 1730;;...............osteuropäische Länder;
5;Nh 1760;;...............Balkan-Länder;
5;Nh 1800;;...............außereuropäische Kontinente allgemein;
5;Nh 1810;;...............Asien allgemein;
5;Nh 1820;;...............Vorderasien;
5;Nh 1840;;...............Ostasien;
5;Nh 1880;;...............Afrika;
5;Nh 1900;1950;...............Amerika;
5;Nh 1980;;...............Australien und Südsee (Ozeanien);
2;Nk ;;......Sachfragen zur Profanarchitektur;
3;Nk xxx;yyy;.........Burgen, Schlösser, Adelspaläste, Villen;
4;Nk xxx;yyy;............zeitlich durchgehend;
5;Nk 5;;...............interkontinental;
5;Nk 10;;...............Europa allgemein;
5;Nk 20;30;...............mitteleuropäische Länder;
5;Nk 35;50;...............westeuropäische Länder;
5;Nk 55;;...............südeuropäische Länder;
5;Nk 60;;...............nordeuropäische Länder;
5;Nk 70;;...............osteuropäische Länder;
5;Nk 80;;...............Balkan-Länder;
5;Nk 100;;...............außereuropäische Länder;
5;Nk 105;;...............Asien allgemein;
5;Nk 110;;...............Vorderasien;
5;Nk 130;;...............Ostasien;
5;Nk 150;;...............Afrika;
5;Nk 160;175;...............Amerika;
5;Nk 190;;...............Australien und Südsee (Ozeanien);
4;Nk xxx;yyy;............Mittelalter (bis 1500);
5;Nk 205;;...............interkontinental;
5;Nk 210;;...............Europa allgemein;
5;Nk 220;230;...............mitteleuropäische Länder;
5;Nk 235;250;...............westeuropäische Länder;
5;Nk 255;;...............südeuropäische Länder;
5;Nk 260;;...............nordeuropäische Länder;
5;Nk 270;;...............osteuropäische Länder;
5;Nk 280;;...............Balkan-Länder;
5;Nk 300;;...............außereuropäische Länder;
5;Nk 305;;...............Asien allgemein;
5;Nk 310;;...............Vorderasien;
5;Nk 330;;...............Ostasien;
5;Nk 350;;...............Afrika;
5;Nk 360;375;...............Amerika;
5;Nk 390;;...............Australien und Südsee (Ozeanien);
4;Nk xxx;yyy;............Neuzeit (1500 bis zur Gegenwart);
5;Nk 405;;...............interkontinental;
5;Nk 410;;...............Europa allgemein;
5;Nk 420;430;...............mitteleuropäische Länder;
5;Nk 435;450;...............westeuropäische Länder;
5;Nk 455;;...............südeuropäische Länder;
5;Nk 460;;...............nordeuropäische Länder;
5;Nk 470;;...............osteuropäische Länder;
5;Nk 480;;...............Balkan-Länder;
5;Nk 500;;...............außereuropäische Länder;
5;Nk 505;;...............Asien allgemein;
5;Nk 510;;...............Vorderasien;
5;Nk 530;;...............Ostasien;
5;Nk 550;;...............Afrika;
5;Nk 560;575;...............Amerika;
5;Nk 590;;...............Australien und Südsee (Ozeanien);
4;Nk xxx;yyy;............19. und 20. Jahrhundert;
5;Nk 605;;...............interkontinental;
5;Nk 610;;...............Europa allgemein;
5;Nk 620;630;...............mitteleuropäische Länder;
5;Nk 635;650;...............westeuropäische Länder;
5;Nk 655;;...............südeuropäische Länder;
5;Nk 660;;...............nordeuropäische Länder;
5;Nk 670;;...............osteuropäische Länder;
5;Nk 680;;...............Balkan-Länder;
5;Nk 700;;...............außereuropäische Länder;
5;Nk 705;;...............Asien allgemein;
5;Nk 710;;...............Vorderasien;
5;Nk 730;;...............Ostasien;
5;Nk 750;;...............Afrika;
5;Nk 760;775;...............Amerika;
5;Nk 790;;...............Australien und Südsee (Ozeanien);
3;Nk xxx;yyy;.........Öffentliche Bauten und Wohnhäuser;
4;Nk xxx;yyy;............zeitlich durchgehend;
5;Nk 1005;;...............interkontinental;
5;Nk 1010;;...............Europa allgemein;
5;Nk 1020;1030;...............mitteleuropäische Länder;
5;Nk 1035;1050;...............westeuropäische Länder;
5;Nk 1055;;...............südeuropäische Länder;
5;Nk 1060;;...............nordeuropäische Länder;
5;Nk 1070;;...............osteuropäische Länder;
5;Nk 1080;;...............Balkan-Länder;
5;Nk 1100;;...............außereuropäische Länder;
5;Nk 1105;;...............Asien allgemein;
5;Nk 1110;;...............Vorderasien;
5;Nk 1130;;...............Ostasien;
5;Nk 1150;;...............Afrika;
5;Nk 1160;1175;...............Amerika;
5;Nk 1190;;...............Australien und Südsee (Ozeanien);
4;Nk xxx;yyy;............Mittelalter (bis 1500);
5;Nk 1205;;...............interkontinental;
5;Nk 1210;;...............Europa allgemein;
5;Nk 1220;1230;...............mitteleuropäische Länder;
5;Nk 1235;1250;...............westeuropäische Länder;
5;Nk 1255;;...............südeuropäische Länder;
5;Nk 1260;;...............nordeuropäische Länder;
5;Nk 1270;;...............osteuropäische Länder;
5;Nk 1280;;...............Balkan-Länder;
5;Nk 1300;;...............außereuropäische Länder;
5;Nk 1305;;...............Asien allgemein;
5;Nk 1310;;...............Vorderasien;
5;Nk 1330;;...............Ostasien;
5;Nk 1350;;...............Afrika;
5;Nk 1360;1375;...............Amerika;
5;Nk 1390;;...............Australien und Südsee (Ozeanien);
4;Nk xxx;yyy;............Neuzeit (1500 bis zur Gegenwart);
5;Nk 1405;;...............interkontinental;
5;Nk 1410;;...............Europa allgemein;
5;Nk 1420;1430;...............mitteleuropäische Länder;
5;Nk 1435;1450;...............westeuropäische Länder;
5;Nk 1455;;...............südeuropäische Länder;
5;Nk 1460;;...............nordeuropäische Länder;
5;Nk 1470;;...............osteuropäische Länder;
5;Nk 1480;;...............Balkan-Länder;
5;Nk 1500;;...............außereuropäische Länder;
5;Nk 1505;;...............Asien allgemein;
5;Nk 1510;;...............Vorderasien;
5;Nk 1530;;...............Ostasien;
5;Nk 1550;;...............Afrika;
5;Nk 1560;1575;...............Amerika;
5;Nk 1590;;...............Australien und Südsee (Ozeanien);
4;Nk xxx;yyy;............19. und 20. Jahrhundert;
5;Nk 1605;;...............interkontinental;
5;Nk 1610;;...............Europa allgemein;
5;Nk 1620;1630;...............mitteleuropäische Länder;
5;Nk 1635;1650;...............westeuropäische Länder;
5;Nk 1655;;...............südeuropäische Länder;
5;Nk 1660;;...............nordeuropäische Länder;
5;Nk 1670;;...............osteuropäische Länder;
5;Nk 1680;;...............Balkan-Länder;
5;Nk 1700;;...............außereuropäische Länder;
5;Nk 1705;;...............Asien allgemein;
5;Nk 1710;;...............Vorderasien;
5;Nk 1730;;...............Ostasien;
5;Nk 1750;;...............Afrika;
5;Nk 1760;1775;...............Amerika;
5;Nk 1790;;...............Australien und Südsee (Ozeanien);
3;Nk xxx;yyy;.........Bauernhaus;
4;Nk 2005;;............interkontinental;
4;Nk 2010;;............Europa allgemein;
4;Nk 2020;2030;............mitteleuropäische Länder;
4;Nk 2035;2050;............westeuropäische Länder;
4;Nk 2055;;............südeuropäische Länder;
4;Nk 2060;;............nordeuropäische Länder;
4;Nk 2070;;............osteuropäische Länder;
4;Nk 2080;;............Balkan-Länder;
