lev;sys;numbis;text;vw
5;Hh 5550;;...............die Simson-Geschichten (Jud. 13-16);
5;Hh 5560;;"...............die ""kleinen Richter"": Thola, Jair, Ibzan, Elon und Abdon (Jud. 10,1-5 und 12,8-15)";
5;Hh 5570;;...............Anhänge des Richterbuches: Michas Götzendienst und der benjaminitische Bürgerkrieg (Jud. 17-21);
5;Hh 5600;;...............Ruth (= Buch Ruth), zusammenfassend;
5;Hh 5620;;...............Einzelszenen aus dem Buch Ruth (z. B. Hochzeit des Boas);
5;Hh 5650;;...............1. et 2. Regum (=1. und 2. Buch Samuel), zusammenfassend;
5;Hh 5660;;...............Geschichte Samuel (1. Reg. 1-15);
5;Hh 5670;;...............Saul (auch Samuel und Saul bzw. Saul und David);
5;Hh 5680;;...............Geschichte Davids (1. Reg. 16-31 und 2. Reg., sowie 1. Par. 11-29);
5;Hh 5700;;...............3. et 4. Regum (1. und 2. Buch der Könige), zusammenfassend;
5;Hh 5710;;...............Geschichte Salomos (3. Reg. 1-11, sowie 2. Par. 1-9);
5;Hh 5720;;"...............der salomonische Tempel (3. Reg. 6-8, sowie 1. Par. 22 und 28; Esd. 1-6)";
5;Hh 5730;;...............Einzelszenen aus der Geschichte des Reiches Israel (3. Reg. 12 bis 4. Reg. 17);
5;Hh 5740;;"...............Einzelszenen aus der Geschichte des Reiches Juda (z. B. Zerstörung Jerusalems, die babylonische Gefangenschaft etc.; 4. Reg. 18-25, sowie 2. Par. 10-36)";
5;Hh ;;...............;Hiskia und Jesaja (4. Reg. 18-20) = Hh 5905
5;Hh 5750;;...............1. et 2. Paralipomenon (= 1. und 2. Buch der Chronik), zusammenfassend;
5;Hh 5755;;...............die Geschlechtertafeln (1. Par. 1-9);
5;Hh ;;...............;Sauls Tod (1. Par. 10) = Hh 5670
5;Hh ;;...............;Geschichte des Königtums David (1. Par. 11-2) = Hh 5670
5;Hh ;;...............;Davids Vorbereitungen zum Tempelbau (1. Par. 22 und 28) = Hh 5720
5;Hh ;;...............;Geschichte des Königtums Salomos (2. Par. 1-9) = Hh 5710
5;Hh ;;...............;Geschichte der Könige von Juda (2. Par. 10-36) = Hh 5740
5;Hh 5760;;...............Liber Esdrae et Nehemiae (= Liber 1 et 2 Esdr.) = Buch Esra und Nehemia), zusammenfassend;
5;Hh ;;...............;Geschichte des Tempelbaues (Esd. 1-6) = Hh 5720
5;Hh 5764;;...............Geschichte des Priesters Esra (Esd. 7-10 und Nehem. 8-10);
5;Hh 5768;;...............Geschichte Nehemias (Nehem. 1-7 und 11-13);
5;Hh 5770;5775;...............Liber Tobiae (= Buch Tobias);
5;Hh 5780;5785;...............Liber Judith (= Buch Judith);
5;Hh 5790;5795;...............Liber Esther (= Buch Esther);
5;Hh 5800;5805;...............Liber 1 et 2 Machabaeorum (= 1. und 2. Buch der Makkabäer);
5;Hh 5810;5815;...............Liber Job (= Buch Hiob);
5;Hh 5820;5830;...............Liber Psalmorum (= Psalter);
5;Hh 5840;5845;...............Liber Proverbiorum et Ecciesiastes (= Sprüche und Prediger Salomonis);
5;Hh 5850;5860;...............Canticum canticorum (= Hoheslied Salomonis);
5;Hh 5900;;...............Die Propheten, zusammenfassend;
5;Hh 5905;;"...............Isaias (= Jesaja), auch ""Hiskia und Isaias"" (4. Reg.18-20)";
5;Hh 5910;;...............Jeremias, auch dessen Klagelieder;
5;Hh 5915;;...............Baruch;
5;Hh 5920;;...............Ezechiel (= Hesekiel);
5;Hh 5925;;...............Daniel;
5;Hh 5930;;...............Oseas (= Hosea);
5;Hh 5935;;...............Joel;
5;Hh 5940;;...............Amos;
5;Hh 5945;;...............Abdias (= Obadja);
5;Hh 5950;;...............Jonas;
5;Hh 5955;;...............Michaeas (= Micha);
5;Hh 5960;;...............Nahum;
5;Hh 5965;;...............Habakuk;
5;Hh 5970;;...............Sophonias (= Zephanja);
5;Hh 5975;;...............Aggaeus (= Haggai);
5;Hh 5980;;...............Zacharias (= Sacharja);
5;Hh 5985;;...............Malachias;
4;Hh xxx;yyy;............Neues Testament;
5;Hh 6100;;...............allgemein;
5;Hh 6110;;...............allgemeine Einzelfragen;
4;Hh xxx;yyy;............Das Leben Christi;
5;Hh 6120;;...............allgemein, zeitlich durchgehend, international;
5;Hh 6123;;...............idem (= allgemein), Italien;
5;Hh 6126;;...............idem (= allgemein), sonstige einzelne Länder;
5;Hh 6130;;...............allgemein, Frühchristentum (bis 800), international;
5;Hh 6133;;...............idem (= allgemein), Italien;
5;Hh 6136;;...............idem (= allgemein), sonstige einzelne Länder;
5;Hh 6140;;...............allgemein, Mittelalter (800 bis 1500), international;
5;Hh 6143;;...............idem (= allgemein), Italien;
5;Hh 6146;;...............idem (= allgemein), sonstige einzelne Länder;
5;Hh 6150;;...............allgemein, Neuzeit (nach 1500), international;
5;Hh 6153;;...............idem (= allgemein), Italien;
5;Hh 6156;;...............idem (= allgemein), sonstige einzelne Länder;
5;Hh 6160;;...............allgemein, 19. und 20. Jh., international;
5;Hh 6163;;...............idem (= allgemein), Italien;
5;Hh 6166;;...............idem (= allgemein), sonstige einzelne Länder;
5;Hh 6190;;...............allgemeine Einzelfragen;
5;Hh 6200;;...............Jugendleben Christi, zusammenfassend;
5;Hh 6210;;...............Geburt und Hirten-Verkündigung;
5;Hh 6220;;...............Magieranbetung, Magierzyklen;
5;Hh 6230;;...............Beschneidung;
5;Hh 6240;;...............Darbringung im Tempel;
5;Hh 6250;;...............Flucht nach (und Rückkehr aus) Ägypten;
5;Hh 6260;;...............Bethlehemitischer Kindermord;
5;Hh 6270;;...............zwölfjähriger Jesus im Tempel;
5;Hh 6280;;...............Jordantaufe;
5;Hh 6290;;...............Versuchung;
5;Hh 6300;;...............Bergpredigt;
5;Hh 6310;;...............Berufung und Aussendung der Apostel;
5;Hh 6320;;...............Samariterin;
5;Hh 6330;;...............Ehebrecherin;
5;Hh 6340;;...............Kindersegnung;
5;Hh 6350;;...............sonstige Szenen;
5;Hh 6360;;...............Wunder und Gleichnisse, zusammenfassend;
5;Hh 6370;;...............Brotvermehrung;
5;Hh 6380;;...............Hochzeit zu Kanaa;
5;Hh 6390;;...............Erweckung des Lazarus;
5;Hh 6410;;...............Krankenheilungen;
5;Hh 6420;;...............der arme Lazarus;
5;Hh 6430;;...............Christus im Hause des Pharisäers;
5;Hh 6440;;...............der barmherzige Samariter;
5;Hh 6450;;...............der verlorene Sohn;
5;Hh 6460;;...............kluge und törichte Jungfrauen;
5;Hh 6470;;...............Fürst der Welt;
5;Hh 6490;;...............sonstige Szenen;
5;Hh ;;...............Passion Christi, zusammenfassend;
6;Hh 6500;;..................zeitlich durchgehend, international;
6;Hh 6503;;..................idem (= zeitlich durchgehend), Italien;
6;Hh 6506;;..................idem (= zeitlich durchgehend), sonstige einzelne Länder;
6;Hh 6510;;..................Frühchristentum (bis 800), international;
6;Hh 6513;;..................idem (= Frühchristentum (bis 800)), Italien;
6;Hh 6516;;..................idem (= Frühchristentum (bis 800)), sonstige einzelne Länder;
6;Hh 6520;;..................Mittelalter (800 bis 1500), international;
6;Hh 6523;;..................idem (= Mittelalter (800 bis 1500)), Italien;
6;Hh 6526;;..................idem (= Mittelalter (800 bis 1500)), sonstige einzelne Länder;
6;Hh 6530;;..................Neuzeit (nach 1500), international;
6;Hh 6533;;..................idem (= Neuzeit (nach 1500)), Italien;
6;Hh 6536;;..................idem (= Neuzeit (nach 1500)), sonstige einzelne Länder;
6;Hh 6540;;..................19. und 20. Jh., international;
6;Hh 6543;;..................idem (= 19. und 20. Jh.), Italien;
6;Hh 6546;;..................idem (= 19. und 20. Jh.), sonstige einzelne Länder;
5;Hh ;;...............Passionsszenen, einzelne;
6;Hh 6550;;..................Verklärung auf dem Tabor;
6;Hh 6560;;..................Einzug in Jerusalem;
6;Hh 6565;;..................Vertreibung der Wechsler;
6;Hh 6570;;..................Fußwaschung;
6;Hh 6580;;..................Abendmahl;
6;Hh 6590;;..................sonstige Szenen aus der Leidens-Vorgeschichte;
6;Hh 6600;;..................Einzelszenen des Leidensweges vom Ölberg bis zur Grablegung (einschließlich Kreuzaufrichtung und Kreuzabnahme);
5;Hh ;;...............Christus am Kreuz (Cruzifixus);
6;Hh 6610;;..................zeitlich durchgehend, international;
6;Hh 6613;;..................idem (= zeitlich durchgehend), Italien;
6;Hh 6616;;..................idem (= zeitlich durchgehend), sonstige einzelne Länder;
6;Hh 6620;;..................Frühchristentum (bis 800), international;
6;Hh 6623;;..................idem (= Frühchristentum (bis 800)), Italien;
6;Hh 6626;;..................idem (= Frühchristentum (bis 800)), sonstige einzelne Länder;
6;Hh 6630;;..................Mittelalter (800 bis 1500), international;
6;Hh 6633;;..................idem (= Mittelalter (800 bis 1500)), Italien;
6;Hh 6636;;..................idem (= Mittelalter (800 bis 1500)), sonstige einzelne Länder;
6;Hh 6640;;..................Neuzeit (nach 1500), international;
6;Hh 6643;;..................idem (= Neuzeit (nach 1500)), Italien;
6;Hh 6646;;..................idem (= Neuzeit (nach 1500)), sonstige einzelne Länder;
6;Hh 6650;;..................19. und 20. Jh., international;
6;Hh 6653;;..................idem (= 19. und 20. Jh.), Italien;
6;Hh 6656;;..................idem (= 19. und 20. Jh.), sonstige einzelne Länder;
6;Hh 6660;;..................Passionswerkzeuge;
6;Hh 6665;;..................Kreuzweg-Anlagen;
6;Hh 6670;;..................Heilige Stiegen;
6;Hh 6680;;..................Heilige Gräber;
6;Hh 6690;;..................sonstige Einzelfragen zur Passions-Ikonographie;
6;Hh 6700;;..................Geschichte der Auferstehung, zusammenfassend;
6;Hh 6710;;..................die drei Frauen am Grabe;
6;Hh 6730;;..................Abstieg zur Vorhölle;
6;Hh 6750;;..................Auferstehung;
6;Hh 6760;;..................Erscheinungen nach dem Tode;
6;Hh 6770;;..................Himmelfahrt;
6;Hh 6780;;..................Pfingstwunder;
6;Hh 6790;;..................sonstige Szenen;
4;Hh xxx;yyy;............Apokalypse und Weltgericht;
5;Hh ;;...............Apokalypse-Zyklen;
6;Hh 6800;;..................zeitlich durchgehend, international;
6;Hh 6803;;..................idem (= zeitlich durchgehend), Italien;
6;Hh 6806;;..................idem (= zeitlich durchgehend), sonstige einzelne Länder;
6;Hh 6810;;..................Frühchristentum (bis 800), international;
6;Hh 6813;;..................idem (= Frühchristentum (bis 800)), Italien;
6;Hh 6816;;..................idem (= Frühchristentum (bis 800)), sonstige einzelne Länder;
6;Hh 6820;;..................Mittelalter (800 bis 1500), international;
6;Hh 6823;;..................idem (= Mittelalter (800 bis 1500)), Italien;
6;Hh 6826;;..................idem (= Mittelalter (800 bis 1500)), sonstige einzelne Länder;
6;Hh 6830;;..................Neuzeit (nach 1500), international;
6;Hh 6833;;..................idem (= Neuzeit (nach 1500)), Italien;
6;Hh 6836;;..................idem (= Neuzeit (nach 1500)), sonstige einzelne Länder;
6;Hh 6840;;..................19. und 20. Jh., international;
6;Hh 6843;;..................idem (= 19. und 20. Jh.), Italien;
6;Hh 6846;;..................idem (= 19. und 20. Jh.), sonstige einzelne Länder;
6;Hh 6850;;..................allgemeine Einzelfragen;
6;Hh 6890;;..................Einzelszenen aus der Apokalypse;
5;Hh ;;...............Weltgericht;
6;Hh 6900;;..................zeitlich durchgehend, international;
6;Hh 6903;;..................idem (= zeitlich durchgehend), Italien;
6;Hh 6906;;..................idem (= zeitlich durchgehend), sonstige einzelne Länder;
6;Hh 6910;;..................Frühchristentum (bis 800), international;
6;Hh 6913;;..................idem (= Frühchristentum (bis 800)), Italien;
6;Hh 6916;;..................idem (= Frühchristentum (bis 800)), sonstige einzelne Länder;
6;Hh 6920;;..................Mittelalter (800 bis 1500), international;
6;Hh 6923;;..................idem (= Mittelalter (800 bis 1500)), Italien;
6;Hh 6926;;..................idem (= Mittelalter (800 bis 1500)), sonstige einzelne Länder;
6;Hh 6930;;..................Neuzeit (nach 1500), international;
6;Hh 6933;;..................idem (= Neuzeit (nach 1500)), Italien;
6;Hh 6936;;..................idem (= Neuzeit (nach 1500)), sonstige einzelne Länder;
6;Hh 6940;;..................19. und 20. Jh. international;
6;Hh 6943;;..................idem (= 19. und 20. Jh. international), Italien;
6;Hh 6946;;..................idem (= 19. und 20. Jh. international), sonstige einzelne Länder;
6;Hh 6960;;..................Deesis-Bilder;
6;Hh 6990;;..................sonstige Einzelfragen;
4;Hh xxx;yyy;............übrige Personen und Ereignisse aus dem Neuen Testament;
5;Hh 7000;;...............Johannes der Täufer, allgemein;
5;Hh 7010;;...............einzelne Szenen aus dem Leben des Täufers;
5;Hh 7015;;...............Salome;
5;Hh 7020;;...............Evangelisten, allgemein;
5;Hh 7025;;...............allgemeine Einzelfragen (z. B. Evangelisten-Symbole);
5;Hh 7030;;...............Matthäus;
5;Hh 7032;;...............Markus;
5;Hh 7034;;...............Lukas;
5;Hh 7036;;...............Johannes;
5;Hh 7040;;...............Apostel, allgemein;
5;Hh 7044;;...............allgemeine Einzelfragen;
5;Hh 7048;;...............Petrus;
5;Hh 7052;;...............Petrus und Paulus;
5;Hh 7056;;...............Paulus;
5;Hh 7060;;...............Jacobus major;
5;Hh ;;...............Johannes ;= Evangelisten || = Hh 7036
5;Hh 7064;;...............Andreas;
5;Hh 7068;;...............Philippus;
5;Hh 7072;;...............Bartholomaeus;
5;Hh ;;...............Matthaeus ;= Evangelisten || = Hh 7030
5;Hh 7076;;...............Thomas;
5;Hh 7080;;...............Jacobus minor;
5;Hh 7084;;...............Thaddaeus (Judas);
5;Hh 7088;;...............Simon Zelotes;
5;Hh 7092;;...............Judas Ischarioth;
5;Hh 7096;;"...............die ""Herrenbrüder""";
3;Hh xxx;yyy;.........Ikonographie der Heiligen, Seligen und Märtyrer;
4;Hh xxx;yyy;............Handbücher und zusammenfassende Darstellungen;
5;Hh 7500;;...............zeitlich durchgehend, international;
5;Hh 7510;;...............idem (= zeitlich durchgehend), Frühchristentum (bis 800);
5;Hh 7520;;...............idem (= zeitlich durchgehend), Mittelalter (800 bis 1500);
5;Hh 7530;;...............idem (= zeitlich durchgehend), Neuzeit (nach 1500);
5;Hh 7540;;...............idem (= zeitlich durchgehend), 19. und 20. Jh.;
5;Hh 7560;;...............Italien, allgemein;
5;Hh 7570;7575;...............Oberitalien;
5;Hh 7580;7585;...............Mittelitalien;
5;Hh 7590;7595;...............Unteritalien (auch mit Inseln);
5;Hh 7600;7608;...............mitteleuropäische Länder;
5;Hh 7612;7620;...............westeuropäische Länder;
5;Hh 7624;;...............südeuropäische Länder;
5;Hh 7628;;...............nordeuropäische Länder;
5;Hh 7632;;...............osteuropäische Länder;
5;Hh 7636;;...............Balkan-Länder;
5;Hh 7640;;...............außereuropäische Länder;
4;Hh 7660;;............Sammelnamen für bestimmte Gruppen von Heiligen (z. B. vier Kirchenväter, vierzehn Nothelfer, zehntausend Märtyrer etc.);
4;Hh 7680;;............Patronatsgruppen (z. B. Pestheilige, Schutzheilige für bestimmte Stände oder Berufe etc.);
4;Hh xxx;yyy;............Heilige einzelner monastischer Orden oder Kongregationen;
5;Hh 7700;;...............allgemein;
5;Hh 7705;;...............Benediktiner;
5;Hh 7710;;...............Zisterzienser;
5;Hh 7715;;...............Augustiner;
5;Hh 7720;;...............Bettelorden, allgemein;
5;Hh 7725;;...............idem (= Bettelorden), nur Franziskaner;
5;Hh 7730;;...............idem (= Bettelorden), nur Dominikaner;
5;Hh 7735;;...............idem (= Bettelorden), nur Karmeliten;
5;Hh 7740;;...............idem (= Bettelorden), nur Kapuziner;
5;Hh 7745;;...............idem (= Bettelorden), sonstige Bettelordenszweige;
5;Hh 7760;;...............Jesuiten;
5;Hh 7770;;...............sonstige geistliche Orden bzw. Kongregationen;
4;Hh 7790;;............allgemeine Einzelfragen;
4;Hh 7800;;............Heiligen-Attribute, allgemein;
4;Hh 7850;;............idem (= Heiligen-Attribute), einzelne (sofern nicht Attribute einzelner Heiliger);
2;Hm ;;......Weltlicher Themenkreis;
3;Hm 20;30;.........allgemeine Sammelwerke und Handbücher;
4;Hm xxx;yyy;............allgemeine zusammenfassende Darstellungen;
5;Hm 40;;...............zeitlich durchgehend, international;
5;Hm 43;;...............idem (= zeitlich durchgehend), Italien;
5;Hm 46;;...............idem (= zeitlich durchgehend), sonstige einzelne Länder;
5;Hm 50;;...............Frühchristentum (bis 800), international;
5;Hm 53;;...............idem (= Frühchristentum (bis 800)), Italien;
5;Hm 56;;...............idem (= Frühchristentum (bis 800)), sonstige einzelne Länder;
5;Hm 60;;...............Mittelalter (800 bis 1500), international;
5;Hm 63;;...............idem (= Mittelalter (800 bis 1500)), Italien;
5;Hm 66;;...............idem (= Mittelalter (800 bis 1500)), sonstige einzelne Länder;
5;Hm 70;;...............Neuzeit (nach 1500), international;
5;Hm 73;;...............idem (= Neuzeit (nach 1500)), Italien;
5;Hm 76;;...............idem (= Neuzeit (nach 1500)), sonstige einzelne Länder;
5;Hm 80;;...............19. und 20. Jh., international;
5;Hm 83;;...............idem (= 19. und 20. Jh.), Italien;
5;Hm 86;;...............idem (= 19. und 20. Jh.), sonstige einzelne Länder;
4;Hm 100;;............Architektur als Bedeutungsträger;
4;Hm 120;;............Ikonologie der Darstellungsprogramme;
4;Hm 135;;............Motivsammlungen, ikonologische Musterbücher für Künstler;
4;Hm 140;;............Attribute allgemein;
4;Hm 160;;............Allgemeines über einzelne Attribute;
4;Hm 180;;............Mimus, Gebärde, Stellung, Bewegung, allgemein;
3;Hm xxx;yyy;.........Szenen und Gestalten aus der Geschichte;
4;Hm xxx;yyy;............Historienmalerei, allgemein;
5;Hm 400;;...............zeitlich durchgehend, international;
5;Hm 403;;...............idem (= zeitlich durchgehend), Italien;
5;Hm 406;;...............idem (= zeitlich durchgehend), sonstige einzelne Länder;
5;Hm 410;;...............Frühchristentum (bis 800), international;
5;Hm 413;;...............idem (= Frühchristentum (bis 800)), Italien;
5;Hm 416;;...............idem (= Frühchristentum (bis 800)), sonstige einzelne Länder;
5;Hm 420;;...............Mittelalter (800 bis 1500), international;
5;Hm 423;;...............idem (= Mittelalter (800 bis 1500)), Italien;
5;Hm 426;;...............idem (= Mittelalter (800 bis 1500)), sonstige einzelne Länder;
5;Hm 430;;...............Neuzeit (nach 1500), international;
5;Hm 433;;...............idem (= Neuzeit (nach 1500)), Italien;
5;Hm 436;;...............idem (= Neuzeit (nach 1500)), sonstige einzelne Länder;
5;Hm 440;;...............19. und 20. Jh., international;
5;Hm 443;;...............idem (= 19. und 20. Jh.), Italien;
5;Hm 446;;...............idem (= 19. und 20. Jh.), sonstige einzelne Länder;
4;Hm xxx;yyy;............Einzelszenen aus der Geschichte (auch Allegorien);
5;Hm 500;;...............der Antike (bis 400);
5;Hm 520;;...............des Frühchristentums (bis 800);
5;Hm 540;;...............des Mittelalters (800-1500);
5;Hm 560;;...............der Neuzeit (1500-1800);
5;Hm 580;;...............des 19. und 20. Jhs.;
3;Hm xxx;yyy;.........Szenen und Gestalten aus der Literatur;
4;Hm xxx;yyy;............literarische Bildmotive, allgemein;
5;Hm 1200;;...............zeitlich durchgehend;
5;Hm 1210;;...............Vormittelalter (bis 800);
5;Hm 1220;;...............Mittelalter (800-1500);
5;Hm 1230;;...............Neuzeit (nach 1500);
5;Hm 1240;;...............19. und 20. Jh.;
5;Hm 1280;;...............allgemeine Einzelfragen;
4;Hm xxx;yyy;............literarische Bildmotive nach einzelnen Dichtern;
5;Hm 1300;;...............aus der antiken Literatur (bis 400);
5;Hm 1310;;...............aus der frühchristlichen Literatur (bis 800);
5;Hm 1320;;...............aus der mittelalterlichen Literatur (800-1500);
5;Hm 1330;;...............nach Dante;
5;Hm 1335;;...............nach Petrarca;
5;Hm 1340;;...............aus der neuzeitlichen Literatur (1500-1800);
5;Hm 1360;;...............aus der Literatur des 19. und 20. Jhs.;
5;Hm 1380;;...............Einzelszenen aus der Literatur;
3;Hm xxx;yyy;.........Mensch und Gesellschaft;
4;Hm xxx;yyy;............Menschenbild allgemein;
5;Hm 2000;;...............zeitlich durchgehend;
5;Hm 2010;;...............Antike (bis 400);
5;Hm 2020;;...............Frühchristentum (bis 800);
5;Hm 2030;;...............Mittelalter (800 bis 1500);
5;Hm 2040;;...............Neuzeit (nach 1500);
5;Hm 2050;;...............19. und 20. Jh.;
5;Hm 2070;;...............in außereuropäischen (exotischen) Kulturkreisen;
5;Hm 2080;;...............allgemeine Einzelfragen;
5;Hm 2090;;...............Portrait-Kataloge und -Sammlungen, international;
5;Hm 2093;;...............idem (= Portrait-Kataloge und -Sammlungen), Italien;
5;Hm 2096;;...............idem (= Portrait-Kataloge und -Sammlungen), sonstige einzelne Länder;
4;Hm xxx;yyy;............Portrait (und Karikatur) allgemein;
5;Hm 2100;;...............zeitlich durchgehend, international;
5;Hm 2103;;...............idem (= zeitlich durchgehend), Italien;
5;Hm 2106;;...............idem (= zeitlich durchgehend), sonstige einzelne Länder;
5;Hm 2110;;...............Antike;
5;Hm 2120;;...............Frühchristentum (bis 800);
5;Hm 2130;;...............Mittelalter (800 bis 1500), international;
5;Hm 2133;;...............idem (= Mittelalter (800 bis 1500)), Italien;
5;Hm 2136;;...............idem (= Mittelalter (800 bis 1500)), sonstige einzelne Länder;
5;Hm 2140;;...............Neuzeit (nach 1500), international;
5;Hm 2143;;...............idem (= Neuzeit (nach 1500)), Italien;
5;Hm 2146;;...............idem (= Neuzeit (nach 1500)), sonstige einzelne Länder;
5;Hm 2150;;...............19. und 20. Jh., international;
5;Hm 2153;;...............idem (= 19. und 20. Jh.), Italien;
5;Hm 2156;;...............idem (= 19. und 20. Jh.), sonstige einzelne Länder;
5;Hm 2170;;...............in außereuropäischen (exotischen) Kulturkreisen;
5;Hm 2180;;...............allgemeine Einzelfragen;
4;Hm xxx;yyy;............Selbstportrait allgemein;
5;Hm 2200;;...............zeitlich durchgehend, international;
5;Hm 2203;;...............idem (= zeitlich durchgehend), Italien;
5;Hm 2206;;...............idem (= zeitlich durchgehend), sonstige einzelne Länder;
5;Hm 2220;;...............Vormittelalter (bis 800);
5;Hm 2230;;...............Mittelalter (800 bis 1500), international;
5;Hm 2233;;...............idem (= Mittelalter (800 bis 1500)), Italien;
5;Hm 2236;;...............idem (= Mittelalter (800 bis 1500)), sonstige einzelne Länder;
5;Hm 2240;;...............Neuzeit (nach 1500), international;
5;Hm 2243;;...............idem (= Neuzeit (nach 1500)), Italien;
5;Hm 2246;;...............idem (= Neuzeit (nach 1500)), sonstige einzelne Länder;
5;Hm 2250;;...............19. und 20. Jh., international;
5;Hm 2253;;...............idem (= 19. und 20. Jh.), Italien;
5;Hm 2256;;...............idem (= 19. und 20. Jh.), sonstige einzelne Länder;
5;Hm 2270;;...............in außereuropäischen (exotischen) Kulturkreisen;
5;Hm 2280;;...............allgemeine Einzelfragen;
4;Hm 2300;;............sonstige Portraittypen (auch Totenmasken);
4;Hm xxx;yyy;............Karikatur allgemein;
5;Hm 2400;;...............zeitlich durchgehend, international;
5;Hm 2403;;...............idem (= zeitlich durchgehend), Italien;
5;Hm 2406;;...............idem (= zeitlich durchgehend), sonstige einzelne Länder;
5;Hm 2420;;...............Vormittelalter (bis 800);
5;Hm 2430;;...............Mittelalter (800 bis 1500), international;
5;Hm 2433;;...............idem (= Mittelalter (800 bis 1500)), Italien;
5;Hm 2436;;...............idem (= Mittelalter (800 bis 1500)), sonstige einzelne Länder;
5;Hm 2440;;...............Neuzeit (nach 1500), international;
5;Hm 2443;;...............idem (= Neuzeit (nach 1500)), Italien;
5;Hm 2446;;...............idem (= Neuzeit (nach 1500)), sonstige einzelne Länder;
5;Hm 2450;;...............19. und 20. Jh., international;
5;Hm 2453;;...............idem (= 19. und 20. Jh.), Italien;
5;Hm 2456;;...............idem (= 19. und 20. Jh.), sonstige einzelne Länder;
5;Hm 2470;;...............in außereuropäischen (exotischen) Kulturkreisen;
5;Hm 2480;;...............allgemeine Einzelfragen;
4;Hm xxx;yyy;............Aktdarstellungen allgemein;
5;Hm 2500;;...............zeitlich durchgehend, international;
5;Hm 2503;;...............idem (= zeitlich durchgehend), Italien;
5;Hm 2506;;...............idem (= zeitlich durchgehend), sonstige einzelne Länder;
5;Hm 2520;;...............Vormittelalter (bis 800);
5;Hm 2530;;...............Mittelalter (800 bis 1500), international;
5;Hm 2533;;...............idem (= Mittelalter (800 bis 1500)), Italien;
5;Hm 2536;;...............idem (= Mittelalter (800 bis 1500)), sonstige einzelne Länder;
5;Hm 2540;;...............Neuzeit (nach 1500), international;
5;Hm 2543;;...............idem (= Neuzeit (nach 1500)), Italien;
5;Hm 2546;;...............idem (= Neuzeit (nach 1500)), sonstige einzelne Länder;
5;Hm 2550;;...............19. und 20. Jh., international;
5;Hm 2553;;...............idem (= 19. und 20. Jh.), Italien;
5;Hm 2556;;...............idem (= 19. und 20. Jh.), sonstige einzelne Länder;
5;Hm 2570;;...............in außereuropäischen (exotischen) Kulturkreisen;
5;Hm 2580;;...............allgemeine Einzelfragen;
4;Hm 2610;;............Teile des menschlichen Körpers;
4;Hm 2630;;............anatomische Darstellungen;
4;Hm 2650;;............anomale menschliche Körperbildungen (z. B. Monstren, Riesen, Zwerge);
4;Hm 2670;;............anomale Physiognomien (z. B. Fratzen, Masken);
4;Hm xxx;yyy;............Figurentypen;
5;Hm 2730;;...............Oranten, Klagefiguren etc.;
5;Hm 2750;;...............Rückenfiguren, Fenstergucker etc.;
5;Hm 2770;;...............Halbfiguren, Brustbilder, Büsten etc.;
5;Hm 2790;;...............sonstige Typen;
4;Hm xxx;yyy;............Gesellschafts- und Gruppenbild allgemein;
5;Hm 2800;;...............zeitlich durchgehend;
5;Hm 2810;;...............Antike (bis 400);
5;Hm 2820;;...............Frühchristentum (bis 800);
5;Hm 2830;;...............Mittelalter (800-1500);
5;Hm 2840;;...............Neuzeit (nach 1500);
5;Hm 2850;;...............19. und 20. Jh.;
5;Hm 2870;;...............in außereuropäischen (exotischen) Kulturkreisen;
5;Hm 2880;;...............allgemeine Einzelfragen;
5;Hm 2885;;...............einzelne Völkerschaften (Türken, Zigeuner etc.);
4;Hm xxx;yyy;............Familienbild allgemein;
5;Hm 2900;;...............zeitlich durchgehend, international;
5;Hm 2903;;...............idem (= zeitlich durchgehend), Italien;
5;Hm 2906;;...............idem (= zeitlich durchgehend), sonstige einzelne Länder;
5;Hm 2920;;...............Vormittelalter (bis 800);
5;Hm 2930;;...............Mittelalter (800 bis 1500), international;
5;Hm 2933;;...............idem (= Mittelalter (800 bis 1500)), Italien;
5;Hm 2936;;...............idem (= Mittelalter (800 bis 1500)), sonstige einzelne Länder;
5;Hm 2940;;...............Neuzeit (nach 1500), international;
5;Hm 2943;;...............idem (= Neuzeit (nach 1500)), Italien;
5;Hm 2946;;...............idem (= Neuzeit (nach 1500)), sonstige einzelne Länder;
5;Hm 2950;;...............19. und 20. Jh., international;
5;Hm 2953;;...............idem (= 19. und 20. Jh.), Italien;
5;Hm 2956;;...............idem (= 19. und 20. Jh.), sonstige einzelne Länder;
5;Hm 2970;;...............in außereuropäischen (exotischen) Kulturkreisen;
5;Hm 2980;;...............allgemeine Einzelfragen;
4;Hm 2985;;............Freundschaftsbild allgemein;
4;Hm xxx;yyy;............Stände- und Berufsdarstellungen;
5;Hm 3000;;...............allgemein, zeitlich durchgehend;
5;Hm 3010;;...............idem (= allgemein), Antike (bis 400);
5;Hm 3020;;...............idem (= allgemein), Frühchristentum (bis 800);
5;Hm 3030;;...............idem (= allgemein), Mittelalter (800-1500);
5;Hm 3040;;...............idem (= allgemein), Neuzeit (nach 1500);
5;Hm 3050;;...............idem (= allgemein), 19. und 20. Jh.;
5;Hm 3070;;...............idem (= allgemein), in außereuropäischen (exotischen) Kulturkreisen;
5;Hm 3080;;...............idem (= allgemein), allgemeine Einzelfragen;
5;Hm 3100;;...............geistliche Stände, allgemein;
