id,language_code,holdings,author_person,author_corporate,author_uniform,title,publication,physical_description,subject_personal,subject_corporate,subject_meeting,subject_uniform_title,subject_named_event,subject_chronological,subject_topical,subject_geographic
BV000052154,ger,{'a': 'DE-739'},"Schiller, Christian",,,Staatsausgaben und crowding-out-Effekte,Frankfurt am Main ; Bern,"XI, 204 Seiten",,,,,,,Beschäftigungstheorie,
BV000052189,ger,{'a': 'DE-Y2'},"Hase-Schmundt, Ulrike von",,,Capogrossi,St. Gallen,ca. 130 S.,"Capogrossi, Giuseppe",,,,,,Druckgrafik,
BV000052480,ger,{'a': 'DE-M515'},"Wolters, Jochem",,,Die Granulation,München,331 S.,,,,,,Geschichte,Künstlerische Technik,
BV000052920,ger,{'a': 'DE-Swf2'},"Osten, Gert von der",,,Hans Baldung Grien,Berlin,"344, 208 Seiten","Baldung Grien, Hans",,,,,,Malerei,Deutschland
BV000053069,ger,{'a': 'DE-Y2'},"Fassbinder, Rainer Werner",,,Querelle-Filmbuch,München,192 S.,"Fassbinder, Rainer Werner",,,Querelle,,,Querelle (Fassbinder),
BV000053168,ger,{'a': 'DE-M17'},,,,Die Ikonen,Freiburg [u.a.],419 S.,,Sinaikloster,,,,Geschichte,Ikone,
BV000053367,ita,{'a': 'DE-M493'},,,,L' architettura del ferro,Roma,"XIX, 543 S.",,,,,,,,
BV000053442,ger,{'a': 'DE-2413'},"Roethlisberger, Marcel",,,Im Licht von Claude Lorrain,München,291 Seiten,"Lorrain, Claude",,,,,Geschichte 1600-1900,Landschaftsmalerei,
BV000053447,ger,{'a': 'DE-M157'},,,,Drei Jahrhunderte deutsche Malerei,München,72 S.,,Galerie Grünwald,,,,Geschichte 1640-1885,Malerei,Deutschland
BV000054135,eng,{'a': 'DE-Y2'},"Nichols, Stephen G.",,,Romanesque signs,New Haven u.a.,"XIII, 248 S.",Rodolfus,,,,,Geschichte 900-1200,Altfranzösisch,
BV000056379,ita,{'a': 'DE-Y2'},"Vitolo, Giovanni",,,Istituzioni ecclesiastiche e vita religiosa dei laici nel Mezzogiorno medievale,Roma,"XVI, 208 S.",,,,,,Geschichte 700-1200,Satzung,Montefusco
BV000057002,eng,{'a': 'DE-Y2'},"Weitzmann, Kurt",,,Art in the medieval west and its contacts with Byzantium,London,Getr. Zählung,,,,,,Geschichte 500-1200,Kunst,Byzantinisches Reich
BV000057076,ger,{'a': 'DE-M333'},,,,Orlando di Lasso,Wiesbaden,269 S.,"Lasso, Orlando di",,,,,Geschichte 1500-1600,Bildnis,Deutschland
BV000057188,fre,{'a': 'DE-Y2'},"Lőkkös, Antal",,,Les incunables de la Bibliothèque de Genève,Genève,293 S.,,Bibliothèque de Genève,,,,,Inkunabel,Ginevra (città) - Bibliothèque publique et universitaire - incunaboli - cataloghi
BV000057652,ger,{'a': 'DE-824'},"Syberberg, Hans Jürgen",,,Parsifal,München,285 S.,"Wagner, Richard",,,Parsifal,,,Verfilmung,
BV000058715,ger,{'a': 'DE-Re7'},,,,Menzel - der Beobachter,München,316 S.,"Menzel, Adolph von",,,,,,,
BV000059091,ger,{'a': 'DE-Y2'},"Baumann, Hellmut",,,"Die griechische Pflanzenwelt in Mythos, Kunst und Literatur",München,251 Seiten,,,,,,Geschichte,Pflanzendarstellung,Griechenland
BV000059154,fre,{'a': 'DE-Y2'},Philoxenus,,,Sancti Philoxeni episcopi Mabbugensis dissertationes decem de uno e sancta trinitate incorporato et passo,Paris,141 S.,,,,,,,,
